8,8,8,8,8,32,0,0,0,0,0,8,8,8,8,0,0,0,0,0
8,8,8,8,8,32,0,0,0,0,0,8,8,8,8,0,0,0,0,0
8,8,8,8,8,32,24,0,0,0,0,0,8,8,0,0,0,0,0,0
8,8,8,8,32,32,24,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,8,24,32,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0
24,24,24,32,32,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0
24,24,32,32,32,24,24,32,32,32,0,0,0,0,0,0,0,0,0,0
24,24,32,32,32,24,24,0,0,32,32,0,0,0,0,0,0,0,16,16
24,24,32,32,24,24,24,0,0,0,32,0,0,0,0,0,0,16,16,16
24,24,24,24,24,24,0,0,0,0,32,0,0,8,8,8,16,16,16,16
8,8,8,8,8,8,0,0,0,0,0,0,8,8,8,16,16,16,16,16
8,8,8,8,8,8,8,0,0,0,0,8,8,16,16,16,16,16,16,16
8,8,8,8,8,8,8,0,0,0,0,8,16,16,16,16,16,16,16,16
8,8,8,8,0,8,8,8,8,0,8,16,16,16,16,16,16,16,16,16
8,8,8,8,0,0,8,8,8,0,8,16,16,16,16,16,16,16,16,16
